Time,Down,Type,Yards,Details,Saskatchewan,Calgary
01:02,3,Punt,12,punts for 48 yards to Cgy38.   return for 12 yards to Cgy50.,27,15
00:38,1,Pass,8,pass to the Ssk52.,27,15
14:26,2,Pass,7,pass to the Ssk39.,27,15
13:51,3,Offside,5,Penalty: Offside on Saskatchewan 5 yards.,27,15
13:36,0,Illegal Contact,10,Penalty: Illegal Contact on Saskatchewan 10 yards.,27,15
13:10,1,Pass,13,pass to the Ssk11.,27,15
12:04,1,Pass,11,pass for a TOUCHDOWN.,27,21
12:08,0,Incomplete Pass,0,incomplete pass.,27,21
11:48,0,Holding,7,Calgary kicks off.   return for 14 yards to Ssk14. Penalty: Holding on Saskatchewan -7 yards.,27,21
11:34,0,Holding,-3,Penalty: Holding on Saskatchewan -3 yards.,27,21
09:45,3,Safety,-4,Safety,27,23
09:45,0,Kickoff,18,Saskatchewan kicks off.   return for 18 yards to Cgy50.,27,23
08:53,1,Incomplete Pass,0,incomplete pass.,27,23
08:33,2,Pass,22,pass to the Ssk21.,27,23
08:12,1,Incomplete Pass,0,incomplete pass.,27,23
07:51,2,Pass,19,pass to the Ssk2.,27,23
06:42,1,,2,for a TOUCHDOWN,27,29
06:23,0,Made Extra Point,0,extra point is good.,27,30
06:23,0,Kickoff,22,Calgary kicks off.   return for 22 yards to Ssk26.,27,30
06:15,1,Pass,3,pass to the Ssk29.,27,30
05:18,2,Interception,50,pass INTERCEPTED and returned for 50 yards for a TOUCHDOWN.,27,36
05:01,0,Made Extra Point,0,extra point is good.,27,37
05:01,0,Kickoff,26,Calgary kicks off.   return for 26 yards to Ssk33.,27,37
04:53,1,Pass,4,pass to the Ssk37.,27,37
04:15,2,Interception,22,pass INTERCEPTED and returned for 22 yards.,27,37
02:22,3,Missed Field Goal,18,18 yard field goal attempt is GOOD.,27,40
02:22,1,Incomplete Pass,0,incomplete pass.,27,40
02:17,2,Pass,14,pass to the Ssk49.,27,40
02:10,1,Pass,5,pass to the Ssk54.,27,40
01:58,2,Incomplete Pass,0,incomplete pass.,27,40
01:41,3,Offside,-5,Penalty: Offside on Saskatchewan -5 yards.,27,40
01:41,3,Pass,15,pass to the Cgy46.,27,40
01:32,1,Pass,12,pass to the Cgy34.,27,40
01:19,1,Pass,7,pass to the Cgy27.,27,40
01:02,2,Pass,10,pass to the Cgy17.,27,40
00:57,1,Interception,0,pass INTERCEPTED. No return.,27,40
