Time,Down,Type,Yards,Details,Calgary,Montreal
12:23,2,Rush,0,Jon Cornish rush for no gain to the Mtl50. Tackled by Scooter Berry.,19,7
11:45,3,Holding,47,Rob Maver punts for 44 yards to Mtl6. Penalty: Holding on Montreal (Daryl Townsend) 3 yards.,19,7
11:12,1,Pass,23,Anthony Calvillo pass to Arland Bruce for 23 yards to the Mtl26. Tackled by Juwan Simpson.,19,7
10:52,1,Pass,33,Anthony Calvillo pass to Arland Bruce for 33 yards to the Cgy51. Tackled by Keon Raymond.,19,7
10:14,1,Pass,8,Anthony Calvillo pass to S.J. Green for 8 yards to the Cgy43. Tackled by Cordarro Law.,19,7
09:46,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for S.J. Green.,19,7
09:23,3,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Brandon Whitaker.,19,7
09:05,1,Rush,7,Jon Cornish rush for 7 yards to the Cgy50. Tackled by Geoff Tisdale.,19,7
08:47,0,Holding,-10,Penalty: Holding on Calgary (Jon Gott) -10 yards.,19,7
08:23,2,Pass,23,Kevin Glenn pass to Jabari Arthur for 23 yards to the Mtl47. Tackled by Billy Parker.,19,7
07:56,1,Rush,2,Jon Cornish rush for 2 yards to the Mtl45. Tackled by Alan-Michael Cash.,19,7
07:12,2,Sack,-9,Sack at Mtl54 for a loss of 9 yards by Shea Emry.,19,7
06:35,3,No Yards,25,Rob Maver punts for 40 yards to Mtl14. Penalty: No Yards on Calgary (Demetrice Morley) -15 yards.,19,7
05:57,1,Pass,17,Anthony Calvillo pass to S.J. Green for 17 yards to the Mtl46. Tackled by Keon Raymond.,19,7
05:47,1,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Eric Deslauriers.,19,7
05:40,2,Fumble,7,"Anthony Calvillo rush for 2 yards to the Mtl48. FUMBLE, recovered by Cgy (Demonte' Bolden) and returned for 5 yards. Tackled by Josh Bourke.",19,7
05:26,1,Sack,-10,Sack at Mtl53 for a loss of 10 yards by Kyries Hebert.,19,7
05:04,2,Sack,-4,Sack at Cgy53 for a loss of 4 yards by Kyries Hebert.,19,7
03:48,3,Fumble,23,Punt blocked by Ed Gainey FUMBLE Recovered by Mtl (Ed Gainey) and returned for 38 yards for a TOUCHDOWN,19,13
03:33,0,Made Extra Point,0,Sean Whyte extra point is good.,19,14
03:33,0,Kickoff,21,Sean Whyte kicks off to the Cgy11. Larry Taylor return for 21 yards to Cgy32. Tackled by Chip Cox.,19,14
03:26,1,Pass,1,Kevin Glenn pass to Jon Cornish for 1 yard to the Cgy33. Tackled by Billy Parker.,19,14
03:00,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Brad Sinopoli.,19,14
02:47,3,Punt,3,Rob Maver punts for 45 yards to Mtl32. Noel Devine return for 3 yards to Mtl35. Tackled by Jeff Hecht.,19,14
02:39,1,Sack,-5,Sack at Mtl30 for a loss of 5 yards by Charleston Hughes.,19,14
02:34,2,Pass,2,Anthony Calvillo pass to Brandon Whitaker for 2 yards to the Mtl32. Tackled by Chris Randle.,19,14
02:16,3,Unnecessary Roughness,21,Sean Whyte punts for 39 yards to Cgy39. Larry Taylor return for 6 yards to Cgy45. Penalty: Unnecessary Roughness on Montreal (Patrick Lavoie) 15 yards.,19,14
02:05,1,Rush,11,Jon Cornish rush for 11 yards to the Mtl39. Tackled by Jerald Brown.,19,14
01:59,1,Rush,5,Jon Cornish rush for 5 yards to the Mtl34. Tackled by Byron Parker.,19,14
01:33,2,Rush,3,Jon Cornish rush for 3 yards to the Mtl31. Tackled by Scooter Berry.,19,14
00:47,3,Missed Field Goal,39,Rene Paredes 39 yard field goal attempt is GOOD.,22,14
00:47,1,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Arland Bruce defensed by Juwan Simpson.,22,14
00:42,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Eric Deslauriers defensed by Demetrice Morley.,22,14
00:35,3,Sack,-8,Sack at Mtl27 for a loss of 8 yards by Demonte' Bolden.,22,14
