Time,Down,Type,Yards,Details,Winnipeg,Edmonton
07:20,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps defensed by Demond Washington.,3,24
07:00,3,Holding,61,Grant Shaw punts for 56 yards to Wpg41. Penalty: No Yards on Edmonton (Brandon Lang) -5 yards. Penalty: Holding on Winnipeg (Mathieu Boulay) 10 yards.,3,24
06:15,1,Pass,14,Max Hall pass to Clarence Denmark for 14 yards to the Wpg50. Tackled by T.J. Hill.,3,24
05:50,1,Rush,-2,Will Ford rush for a loss of 2 yards to the Wpg48. Tackled by J.C. Sherritt.,3,24
05:17,2,Roughing Passer,17,Max Hall pass to Terrence Edwards for 2 yards to the Wpg50. Tackled by Eric Samuels. Penalty: Roughing Passer on Edmonton (Marcus Howard) 15 yards.,3,24
04:43,1,Rush,3,Will Ford rush for 3 yards to the Edm42. Tackled by Almondo Sewell.,3,24
04:11,2,Pass,7,Max Hall pass to Rory Kohlert for 7 yards to the Edm35. Tackled by Marcell Young.,3,24
03:37,1,Incomplete Pass,0,Max Hall incomplete pass intended for Aaron Kelly.,3,24
03:13,2,Incomplete Pass,0,Max Hall incomplete pass intended for Terrence Edwards.,3,24
02:25,3,Field Goal Single,55,55 yard field goal attempt by Sandro DeAngelis is NO GOOD (Single).,4,24
02:25,1,Pass,9,Mike Reilly pass to Fred Stamps for 9 yards to the Edm44. Tackled by Desia Dunn.,4,24
01:28,2,Rush,2,Kerry Joseph rush for 2 yards to the Edm46. Tackled by Kenny Mainor.,4,24
00:55,1,Pass,8,Mike Reilly pass to Hugh Charles for 8 yards to the Edm54. Tackled by Henoc Muamba.,4,24
00:07,2,Pass,4,Mike Reilly pass to Adarius Bowman for 4 yards to the Wpg52. Tackled by Desia Dunn.,4,24
15:00,1,Unnecessary Roughness,28,Mike Reilly rush for 13 yards to the Wpg39. Tackled by Demond Washington. Penalty: Unnecessary Roughness on Winnipeg (Demond Washington) 15 yards.,4,24
14:32,1,Sack,-1,Sack at Wpg25 for a loss of 1 yard by Kenny Mainor.,4,24
13:50,2,Objectionable Conduct,-15,Penalty: Offside on Edmonton (Adarius Bowman) -5 yards. Penalty: Objectionable Conduct on Edmonton (Nate Coehoorn) -10 yards.,4,24
13:28,2,Sack,-5,Sack at Wpg45 for a loss of 5 yards by Bryant Turner.,4,24
12:35,3,Punt Single,0,Grant Shaw punts for 56 yards to Wpg0. No return (Single).,4,25
12:35,1,Pass,13,Max Hall pass to Rory Kohlert for 13 yards to the Wpg48. Tackled by T.J. Hill.,4,25
12:01,1,Pass,25,Max Hall pass to Aaron Kelly for 25 yards to the Edm37. Tackled by Joe Burnett.,4,25
11:14,1,Rush,22,Will Ford rush for 22 yards to the Edm15. Tackled by Chris Thompson.,4,25
10:51,1,Pass,0,Max Hall pass to Terrence Edwards for no gain to the Edm15. Tackled by Eric Samuels.,4,25
10:15,2,Incomplete Pass,0,Max Hall incomplete pass intended for Aaron Kelly.,4,25
09:37,3,Missed Field Goal,22,Sandro DeAngelis 22 yard field goal attempt is GOOD.,7,25
09:37,1,Rush,5,Hugh Charles rush for 5 yards to the Edm40. Tackled by Henoc Muamba.,7,25
09:05,2,Rush,1,Mike Reilly rush for 1 yard to the Edm41. Tackled by Greg Peach.,7,25
08:35,3,Punt,8,Grant Shaw punts for 47 yards to Wpg22. Jovon Johnson return for 8 yards to Wpg30. Tackled by Corbin Sharun.,7,25
08:15,1,Pass,17,Max Hall pass to Terrence Edwards for 17 yards to the Wpg47. Tackled by Joe Burnett.,7,25
07:44,1,Pass,-3,Max Hall pass to Aaron Kelly for a loss of 3 yards to the Wpg44. Tackled by Joe Burnett.,7,25
07:04,2,Incomplete Pass,0,Max Hall incomplete pass intended for Clarence Denmark.,7,25
06:54,3,Punt,0,Mike Renaud punts for 54 yards to Edm12. No return.,7,25
06:35,1,Rush,6,Hugh Charles rush for 6 yards to the Edm18. Tackled by Desia Dunn.,7,25
06:08,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps.,7,25
05:59,3,Punt,5,Grant Shaw punts for 37 yards to Edm55. Demond Washington return for 5 yards to Edm50. Tackled by  .,7,25
05:36,1,Rush,8,Will Ford rush for 8 yards to the Edm42. Tackled by J.C. Sherritt.,7,25
04:50,2,Rush,5,Will Ford rush for 5 yards to the Edm37. Tackled by Damaso Munoz.,7,25
04:30,1,Pass,9,Max Hall pass to Clarence Denmark for 9 yards to the Edm28. Tackled by T.J. Hill.,7,25
03:54,2,Rush,1,Jason Boltus rush for 1 yard to the Edm27. Tackled by Rennie Curran.,7,25
03:18,3,Rush,1,Jason Boltus rush for 1 yard to the Edm26. Tackled by Ted Laurent.,7,25
02:59,1,Pass,8,Max Hall pass to Rory Kohlert for 8 yards to the Edm18. Tackled by Damaso Munoz.,7,25
02:36,2,Rush,-3,Will Ford rush for a loss of 3 yards to the Edm21. Tackled by Rennie Curran.,7,25
02:20,0,Illegal Interference,8,"FUMBLE, recovered by Edm (Odell Willis).  Penalty: Illegal Interference on Winnipeg (Max Hall) 10 yards Penalty: Illegal Interference on Edmonton (Marcus Howard) -10 yards",7,25
01:48,1,Rush,1,Hugh Charles rush for 1 yard to the Edm44. Tackled by Zach Anderson.,7,25
01:29,2,Rush,10,Mike Reilly rush for 10 yards to the Edm54. Tackled by Desia Dunn.,7,25
01:15,1,Rush,1,Hugh Charles rush for 1 yard to the Edm55. Tackled by Zach Anderson.,7,25
01:00,2,Rush,4,Jonathan Crompton rush for 4 yards to the Wpg51. Tackled by Demond Washington.,7,25
00:40,0,No Yards,-5,Penalty: No Yards on Edmonton (Brandon Lang) -5 yards.,7,25
00:25,1,Rush,6,Jason Boltus rush for 6 yards to the Wpg21. Tackled by T.J. Hill.,7,25
00:01,2,Incomplete Pass,0,Jason Boltus incomplete pass intended for Aaron Kelly.,7,25
